TRACK_RCP,CHAMBER_TYPE,Count,Mean_Minutes,Std_Minutes,Min_Minutes,Max_Minutes,Median_Minutes,Wait_Mean_Minutes,Wait_Std_Minutes,Wait_Min_Minutes,Wait_Max_Minutes,Wait_Median_Minutes,Total_Mean_Minutes,Total_Std_Minutes,Total_Min_Minutes,Total_Max_Minutes,Total_Median_Minutes,CV_Percent
Spire/L-4602-35500-10B,ADH,616,0.92,0.01,0.92,0.93,0.92,21.05,8.41,11.48,73.87,19.8,21.97,8.41,12.4,74.79,20.72,1.1
Spire/L-4602-35500-10B,CHK,616,0.46,0.07,0.4,1.23,0.45,5.46,4.85,1.07,58.0,5.26,5.92,4.86,1.49,58.45,5.74,15.2
Spire/L-4602-35500-10B,COT,616,1.2,0.01,1.18,1.22,1.2,1.5,4.97,0.1,58.91,0.98,2.7,4.97,1.28,60.13,2.19,0.8
Spire/L-4602-35500-10B,CPH,1232,1.63,0.01,1.62,1.65,1.63,0.57,0.46,0.09,5.3,0.45,2.2,0.46,1.71,6.93,2.07,0.6
Spire/L-4602-35500-10B,DEV,616,1.66,0.01,1.63,1.67,1.67,0.25,0.25,0.1,1.55,0.12,1.91,0.25,1.75,3.22,1.78,0.6
Spire/L-4602-35500-10B,SCP,1232,0.75,0.0,0.73,0.77,0.75,1.66,4.06,0.06,59.99,0.56,2.41,4.06,0.81,60.74,1.31,0.0
Spire/L-4602-35500-10B,TEL,616,23.53,9.52,11.57,78.57,22.38,,,,,,,,,,,40.5
Spire/L-4602-61500-20B,ADH,541,0.92,0.01,0.92,0.93,0.92,19.84,2.45,13.0,35.51,20.12,20.76,2.45,13.92,36.44,21.04,1.1
Spire/L-4602-61500-20B,CHK,541,0.47,0.1,0.4,1.7,0.45,4.14,1.8,1.07,18.31,4.43,4.61,1.82,1.49,18.95,4.9,21.3
Spire/L-4602-61500-20B,COT,541,1.83,0.01,1.82,1.85,1.83,1.02,0.65,0.1,3.99,1.13,2.85,0.65,1.92,5.82,2.96,0.5
Spire/L-4602-61500-20B,CPH,1082,1.96,0.33,1.62,2.32,1.97,0.38,0.23,0.09,1.44,0.4,2.35,0.3,1.97,3.68,2.39,16.8
Spire/L-4602-61500-20B,DEV,541,1.83,0.01,1.82,1.85,1.83,0.29,0.27,0.1,1.38,0.18,2.12,0.27,1.92,3.2,2.0,0.5
Spire/L-4602-61500-20B,SCP,1082,0.75,0.0,0.73,0.77,0.75,1.34,1.31,0.06,5.75,0.63,2.09,1.31,0.8,6.5,1.38,0.0
Spire/L-4602-61500-20B,TEL,541,22.25,3.47,13.1,39.4,22.95,,,,,,,,,,,15.6
Spire/L-4604-13350-10BD,ADH,142,0.92,0.01,0.92,0.93,0.92,17.03,1.73,12.61,21.81,17.06,17.96,1.73,13.54,22.73,18.0,1.1
Spire/L-4604-13350-10BD,CHK,142,0.47,0.07,0.4,0.72,0.43,3.64,1.22,1.08,6.82,3.86,4.1,1.23,1.58,7.3,4.33,14.9
Spire/L-4604-13350-10BD,COT,142,1.93,0.01,1.92,1.95,1.93,0.96,0.47,0.1,1.8,1.23,2.89,0.47,2.03,3.75,3.16,0.5
Spire/L-4604-13350-10BD,CPH,284,1.63,0.01,1.62,1.65,1.63,0.36,0.44,0.09,3.46,0.36,1.99,0.44,1.71,5.09,1.98,0.6
Spire/L-4604-13350-10BD,DEV,142,1.33,0.01,1.32,1.33,1.33,0.3,0.28,0.1,1.13,0.12,1.62,0.28,1.42,2.46,1.45,0.8
Spire/L-4604-13350-10BD,SCP,284,0.75,0.0,0.73,0.75,0.75,0.8,0.91,0.07,4.05,0.27,1.55,0.91,0.82,4.8,1.02,0.0
Spire/L-4604-13350-10BD,TEL,142,18.04,2.68,12.7,28.32,17.82,,,,,,,,,,,14.9
Spire/L-4604-13600-10BD,ADH,696,0.92,0.01,0.92,0.93,0.92,22.96,14.22,11.86,82.02,18.74,23.89,14.22,12.78,82.94,19.66,1.1
Spire/L-4604-13600-10BD,CHK,691,0.45,0.05,0.4,1.1,0.43,7.1,11.26,1.07,67.72,4.39,7.56,11.27,1.49,68.15,4.84,11.1
Spire/L-4604-13600-10BD,COT,696,2.13,2.95,1.92,61.75,1.93,1.45,4.34,0.1,62.6,1.23,3.57,5.24,2.02,64.53,3.16,138.5
Spire/L-4604-13600-10BD,CPH,1382,1.63,0.01,1.62,1.65,1.63,0.46,2.19,0.09,61.49,0.35,2.1,2.19,1.71,63.12,1.98,0.6
Spire/L-4604-13600-10BD,DEV,691,1.33,0.01,1.32,1.33,1.33,0.25,0.24,0.1,1.13,0.12,1.58,0.25,1.42,2.46,1.44,0.8
Spire/L-4604-13600-10BD,SCP,1387,0.75,0.0,0.73,0.77,0.75,1.61,5.16,0.06,64.38,0.45,2.36,5.16,0.81,65.13,1.2,0.0
