TRACK_RCP,LOT,Total_Minutes,Wafer_Count
Spire/L-4602-35500-10B,W5335560,879.6833333333333,25
Spire/L-4602-35500-10B,W5348190,1826.6,25
Spire/L-4602-35500-10B,W5362600,1199.0833333333333,25
Spire/L-4602-35500-10B,W5369330,774.1833333333333,25
Spire/L-4602-35500-10B,W5369350,1516.7,25
Spire/L-4602-35500-10B,W5370000,1354.5333333333333,25
Spire/L-4602-35500-10B,W5370010,774.1333333333333,25
Spire/L-4602-35500-10B,W5370020,759.9166666666666,25
Spire/L-4602-35500-10B,W5372350,759.8833333333333,25
Spire/L-4602-35500-10B,W5372680,759.1333333333333,25
Spire/L-4602-35500-10B,W5372690,759.8833333333333,25
Spire/L-4602-35500-10B,W5376970,858.25,25
Spire/L-4602-35500-10B,W5376980,758.2666666666667,25
Spire/L-4602-35500-10B,W5376990,762.5833333333334,25
Spire/L-4602-35500-10B,W5378380,788.3,25
Spire/L-4602-35500-10B,W5379640,808.9,25
Spire/L-4602-35500-10B,W5389890,767.9166666666666,25
Spire/L-4602-35500-10B,W5389900,852.4,25
Spire/L-4602-61500-20B,W5335560,804.3166666666666,25
Spire/L-4602-61500-20B,W5348190,809.9666666666667,25
Spire/L-4602-61500-20B,W5362600,839.9166666666666,25
Spire/L-4602-61500-20B,W5369330,815.8333333333334,25
Spire/L-4602-61500-20B,W5369350,802.85,25
Spire/L-4602-61500-20B,W5370000,824.0833333333334,25
Spire/L-4602-61500-20B,W5370010,921.9333333333333,25
Spire/L-4602-61500-20B,W5370020,812.0,25
Spire/L-4602-61500-20B,W5372350,807.9333333333333,25
Spire/L-4602-61500-20B,W5372680,804.3333333333333,25
Spire/L-4602-61500-20B,W5372690,811.4,25
Spire/L-4602-61500-20B,W5376970,805.6666666666666,25
Spire/L-4602-61500-20B,W5376980,804.0666666666666,25
Spire/L-4602-61500-20B,W5376990,805.1666666666666,25
Spire/L-4602-61500-20B,W5378380,859.4666666666667,25
Spire/L-4602-61500-20B,W5379640,802.8333333333334,25
Spire/L-4602-61500-20B,W5389890,802.8833333333333,25
Spire/L-4602-61500-20B,W5389900,810.3666666666667,25
Spire/L-4604-13350-10BD,W5289260,730.2833333333333,25
Spire/L-4604-13350-10BD,W5319960,728.1833333333333,25
Spire/L-4604-13600-10BD,W5335560,1692.5166666666667,25
Spire/L-4604-13600-10BD,W5348190,748.0166666666667,25
Spire/L-4604-13600-10BD,W5362600,729.4499999999999,25
Spire/L-4604-13600-10BD,W5369330,865.1333333333333,25
Spire/L-4604-13600-10BD,W5369350,738.0833333333334,25
