CHAMBER,Count,Mean_Minutes,Median_Minutes,Std_Minutes,CV_Percent,CHAMBER_TYPE
TEL_ACT12,545,23.01,22.38,8.03,34.9,TEL
DEV151,81,1.67,1.67,0.01,0.6,DEV
DEV161,71,1.67,1.67,0.0,0.0,DEV
DEV163,70,1.66,1.67,0.01,0.6,DEV
DEV153,69,1.66,1.67,0.01,0.6,DEV
DEV164,62,1.65,1.65,0.01,0.6,DEV
DEV154,63,1.65,1.65,0.0,0.0,DEV
DEV162,64,1.65,1.65,0.01,0.6,DEV
DEV152,65,1.65,1.65,0.0,0.0,DEV
CPHP1412,64,1.63,1.63,0.0,0.0,CPH
CPHP1312,64,1.63,1.63,0.01,0.6,CPH
CPHP1323,47,1.63,1.63,0.01,0.6,CPH
CPHP1322,47,1.63,1.63,0.01,0.6,CPH
CPHP1423,46,1.63,1.63,0.0,0.0,CPH
CPHP1413,61,1.63,1.63,0.01,0.6,CPH
CPHP1414,50,1.63,1.63,0.01,0.6,CPH
CPHP1314,60,1.63,1.63,0.0,0.0,CPH
CPHP1313,59,1.63,1.63,0.01,0.6,CPH
CPHP1622,47,1.63,1.63,0.01,0.6,CPH
CPHP1621,48,1.63,1.63,0.0,0.0,CPH
CPHP1613,48,1.63,1.63,0.01,0.6,CPH
CPHP1612,60,1.63,1.63,0.01,0.6,CPH
CPHP1522,47,1.63,1.63,0.01,0.6,CPH
CPHP1611,64,1.63,1.63,0.0,0.0,CPH
CPHP1521,48,1.63,1.63,0.0,0.0,CPH
CPHP1513,59,1.63,1.63,0.0,0.0,CPH
CPHP1512,60,1.63,1.63,0.01,0.6,CPH
CPHP1511,64,1.63,1.63,0.01,0.6,CPH
CPHP1422,47,1.63,1.63,0.0,0.0,CPH
COT131,145,1.2,1.2,0.01,0.8,COT
COT132,132,1.2,1.2,0.0,0.0,COT
COT142,132,1.2,1.2,0.0,0.0,COT
COT141,136,1.2,1.2,0.01,0.8,COT
ADH101,89,0.92,0.92,0.01,1.1,ADH
ADH105,71,0.92,0.92,0.01,1.1,ADH
ADH107,66,0.92,0.92,0.01,1.1,ADH
ADH106,66,0.92,0.92,0.01,1.1,ADH
ADH103,84,0.92,0.92,0.01,1.1,ADH
ADH104,84,0.92,0.92,0.01,1.1,ADH
ADH102,85,0.92,0.92,0.01,1.1,ADH
SCPL1331,145,0.75,0.75,0.0,0.0,SCP
SCPL1332,132,0.75,0.75,0.0,0.0,SCP
SCPL1531,146,0.75,0.75,0.0,0.0,SCP
SCPL1532,132,0.75,0.75,0.0,0.0,SCP
SCPL1432,131,0.75,0.75,0.0,0.0,SCP
SCPL1431,137,0.75,0.75,0.0,0.0,SCP
SCPL1631,135,0.75,0.75,0.0,0.0,SCP
SCPL1632,132,0.75,0.75,0.0,0.0,SCP
CHK1,272,0.46,0.43,0.07,15.2,CHK
CHK2,273,0.46,0.43,0.08,17.4,CHK
