CHAMBER,Count,Mean_Minutes,Median_Minutes,Std_Minutes,CV_Percent,CHAMBER_TYPE
TEL_ACT12,30,18.93,19.67,2.73,14.4,TEL
COT141,8,1.94,1.93,0.01,0.5,COT
COT132,7,1.93,1.93,0.01,0.5,COT
COT142,6,1.93,1.93,0.01,0.5,COT
COT131,9,1.93,1.93,0.0,0.0,COT
CPHP1513,3,1.64,1.63,0.01,0.6,CPH
CPHP1312,5,1.63,1.63,0.01,0.6,CPH
CPHP1313,4,1.63,1.63,0.0,0.0,CPH
CPHP1323,2,1.63,1.63,0.0,0.0,CPH
CPHP1322,2,1.63,1.63,0.0,0.0,CPH
CPHP1413,4,1.63,1.63,0.01,0.6,CPH
CPHP1511,4,1.63,1.63,0.0,0.0,CPH
CPHP1423,2,1.63,1.63,0.0,0.0,CPH
CPHP1422,2,1.63,1.63,0.0,0.0,CPH
CPHP1412,4,1.63,1.63,0.0,0.0,CPH
CPHP1414,2,1.63,1.63,0.0,0.0,CPH
CPHP1314,3,1.63,1.63,0.0,0.0,CPH
CPHP1521,3,1.63,1.63,0.01,0.6,CPH
CPHP1622,2,1.63,1.63,0.0,0.0,CPH
CPHP1611,4,1.63,1.63,0.0,0.0,CPH
CPHP1612,3,1.63,1.63,0.0,0.0,CPH
CPHP1613,3,1.63,1.63,0.0,0.0,CPH
CPHP1512,4,1.63,1.63,0.0,0.0,CPH
CPHP1621,2,1.63,1.63,0.0,0.0,CPH
CPHP1522,2,1.62,1.62,0.01,0.6,CPH
DEV151,5,1.33,1.33,0.01,0.8,DEV
DEV164,3,1.33,1.33,0.01,0.8,DEV
DEV153,5,1.33,1.33,0.01,0.8,DEV
DEV163,3,1.33,1.33,0.0,0.0,DEV
DEV154,3,1.33,1.33,0.01,0.8,DEV
DEV162,3,1.33,1.33,0.0,0.0,DEV
DEV161,5,1.32,1.32,0.01,0.8,DEV
DEV152,3,1.32,1.32,0.01,0.8,DEV
ADH105,3,0.93,0.93,0.01,1.1,ADH
ADH106,3,0.93,0.93,0.01,1.1,ADH
ADH103,5,0.93,0.93,0.01,1.1,ADH
ADH101,6,0.92,0.92,0.01,1.1,ADH
ADH102,6,0.92,0.92,0.01,1.1,ADH
ADH104,4,0.92,0.92,0.01,1.1,ADH
ADH107,3,0.92,0.92,0.01,1.1,ADH
SCPL1331,9,0.75,0.75,0.0,0.0,SCP
SCPL1332,7,0.75,0.75,0.0,0.0,SCP
SCPL1531,8,0.75,0.75,0.0,0.0,SCP
SCPL1532,8,0.75,0.75,0.0,0.0,SCP
SCPL1432,7,0.75,0.75,0.0,0.0,SCP
SCPL1431,7,0.75,0.75,0.0,0.0,SCP
SCPL1631,8,0.75,0.75,0.0,0.0,SCP
SCPL1632,6,0.75,0.75,0.0,0.0,SCP
CHK2,15,0.49,0.48,0.08,16.3,CHK
CHK1,15,0.46,0.45,0.04,8.7,CHK
