CHAMBER,Count,Mean_Minutes,Median_Minutes,Std_Minutes,CV_Percent,CHAMBER_TYPE
TEL_ACT12,816,23.69,25.22,3.82,16.1,TEL
ITC143,416,1.55,1.55,0.0,0.0,ITC
ITC144,400,1.55,1.55,0.01,0.6,ITC
CPHP1424,134,1.47,1.47,0.0,0.0,CPH
CPHP1423,132,1.47,1.47,0.0,0.0,CPH
CPHP1613,75,1.47,1.47,0.0,0.0,CPH
CPHP1414,136,1.47,1.47,0.0,0.0,CPH
CPHP1513,88,1.47,1.47,0.0,0.0,CPH
CPHP1412,147,1.47,1.47,0.0,0.0,CPH
CPHP1611,90,1.47,1.47,0.0,0.0,CPH
CPHP1612,90,1.47,1.47,0.0,0.0,CPH
CPHP1621,73,1.47,1.47,0.0,0.0,CPH
CPHP1522,73,1.46,1.47,0.01,0.7,CPH
CPHP1512,90,1.46,1.47,0.01,0.7,CPH
CPHP1521,74,1.46,1.47,0.01,0.7,CPH
CPHP1511,90,1.46,1.47,0.01,0.7,CPH
CPHP1413,133,1.46,1.47,0.01,0.7,CPH
CPHP1422,134,1.46,1.47,0.01,0.7,CPH
CPHP1622,73,1.46,1.47,0.01,0.7,CPH
DEV164,97,1.33,1.33,0.01,0.8,DEV
DEV151,113,1.33,1.33,0.01,0.8,DEV
DEV152,102,1.33,1.33,0.01,0.8,DEV
DEV161,102,1.33,1.33,0.01,0.8,DEV
DEV162,101,1.33,1.33,0.01,0.8,DEV
DEV154,98,1.33,1.33,0.01,0.8,DEV
DEV153,102,1.33,1.33,0.01,0.8,DEV
DEV163,101,1.33,1.33,0.01,0.8,DEV
ADH101,128,0.92,0.92,0.01,1.1,ADH
ADH107,104,0.92,0.92,0.01,1.1,ADH
ADH106,106,0.92,0.92,0.01,1.1,ADH
ADH104,121,0.92,0.92,0.01,1.1,ADH
ADH105,107,0.92,0.92,0.01,1.1,ADH
ADH103,124,0.92,0.92,0.01,1.1,ADH
ADH102,126,0.92,0.92,0.01,1.1,ADH
SCPL1531,215,0.75,0.75,0.0,0.0,SCP
SCPL1532,200,0.75,0.75,0.0,0.0,SCP
SCPL1432,399,0.75,0.75,0.0,0.0,SCP
SCPL1431,417,0.75,0.75,0.0,0.0,SCP
SCPL1631,203,0.75,0.75,0.0,0.0,SCP
SCPL1632,198,0.75,0.75,0.0,0.0,SCP
CHK2,408,0.45,0.43,0.06,13.3,CHK
CHK1,408,0.45,0.43,0.06,13.3,CHK
