CHAMBER,Count,Mean_Minutes,Median_Minutes,Std_Minutes,CV_Percent,CHAMBER_TYPE
TEL_ACT12,408,16.55,16.68,2.91,17.6,TEL
DEV151,56,2.16,2.17,0.01,0.5,DEV
DEV163,51,2.16,2.17,0.01,0.5,DEV
DEV161,52,2.16,2.17,0.01,0.5,DEV
DEV153,52,2.16,2.17,0.01,0.5,DEV
DEV152,49,2.15,2.15,0.0,0.0,DEV
DEV164,48,2.15,2.15,0.01,0.5,DEV
DEV162,50,2.15,2.15,0.0,0.0,DEV
DEV154,50,2.15,2.15,0.0,0.0,DEV
CPHP1322,69,1.13,1.13,0.0,0.0,CPH
CPHP1513,41,1.13,1.13,0.0,0.0,CPH
CPHP1412,69,1.13,1.13,0.0,0.0,CPH
CPHP1511,46,1.13,1.13,0.01,0.9,CPH
CPHP1422,66,1.13,1.13,0.01,0.9,CPH
CPHP1413,65,1.13,1.13,0.01,0.9,CPH
CPHP1313,68,1.13,1.13,0.01,0.9,CPH
CPHP1512,42,1.13,1.13,0.01,0.9,CPH
CPHP1312,71,1.13,1.13,0.01,0.9,CPH
CPHP1522,39,1.13,1.13,0.01,0.9,CPH
CPHP1622,38,1.13,1.13,0.01,0.9,CPH
CPHP1613,38,1.13,1.13,0.01,0.9,CPH
CPHP1621,40,1.13,1.13,0.0,0.0,CPH
CPHP1521,39,1.13,1.13,0.0,0.0,CPH
CPHP1611,42,1.13,1.13,0.0,0.0,CPH
CPHP1612,43,1.13,1.13,0.0,0.0,CPH
ADH101,68,0.92,0.92,0.01,1.1,ADH
ADH105,54,0.92,0.92,0.01,1.1,ADH
ADH107,51,0.92,0.92,0.01,1.1,ADH
ADH106,53,0.92,0.92,0.01,1.1,ADH
ADH103,63,0.92,0.92,0.01,1.1,ADH
ADH104,61,0.92,0.92,0.01,1.1,ADH
ADH102,65,0.92,0.92,0.01,1.1,ADH
ITC133,107,0.89,0.88,0.01,1.1,ITC
ITC134,101,0.89,0.88,0.01,1.1,ITC
ITC144,99,0.89,0.88,0.01,1.1,ITC
ITC143,101,0.89,0.88,0.01,1.1,ITC
SCPL1431,53,0.75,0.75,0.0,0.0,SCP
SCPL1432,50,0.75,0.75,0.0,0.0,SCP
SCPL1332,50,0.75,0.75,0.0,0.0,SCP
SCPL1333,49,0.75,0.75,0.0,0.0,SCP
SCPL1334,48,0.75,0.75,0.0,0.0,SCP
SCPL1331,61,0.75,0.75,0.0,0.0,SCP
SCPL1531,105,0.75,0.75,0.0,0.0,SCP
SCPL1532,102,0.75,0.75,0.0,0.0,SCP
SCPL1434,48,0.75,0.75,0.0,0.0,SCP
SCPL1433,49,0.75,0.75,0.0,0.0,SCP
SCPL1631,102,0.75,0.75,0.0,0.0,SCP
SCPL1632,99,0.75,0.75,0.0,0.0,SCP
CHK1,206,0.45,0.43,0.07,15.6,CHK
CHK2,202,0.44,0.43,0.07,15.9,CHK
