CHAMBER,Count,Mean_Minutes,Median_Minutes,Std_Minutes,CV_Percent,CHAMBER_TYPE
TEL_ACT12,211,30.13,31.65,6.27,20.8,TEL
DEV151,32,2.5,2.5,0.01,0.4,DEV
DEV153,28,2.5,2.5,0.01,0.4,DEV
DEV163,26,2.5,2.5,0.01,0.4,DEV
DEV161,30,2.5,2.5,0.01,0.4,DEV
DEV154,22,2.49,2.48,0.01,0.4,DEV
DEV162,24,2.49,2.48,0.01,0.4,DEV
DEV152,26,2.48,2.48,0.0,0.0,DEV
DEV164,23,2.48,2.48,0.0,0.0,DEV
BCT121,112,1.55,1.55,0.0,0.0,BCT
BCT122,99,1.55,1.55,0.01,0.6,BCT
CPHP1611,22,1.13,1.13,0.0,0.0,CPH
CPHP1521,20,1.13,1.13,0.0,0.0,CPH
CPHP1513,20,1.13,1.13,0.0,0.0,CPH
CPHP1613,21,1.13,1.13,0.01,0.9,CPH
CPHP1612,20,1.13,1.13,0.0,0.0,CPH
CPHP1621,21,1.13,1.13,0.01,0.9,CPH
CPHP1522,21,1.13,1.13,0.01,0.9,CPH
CPHP1512,20,1.13,1.13,0.01,0.9,CPH
CPHP1511,27,1.13,1.13,0.01,0.9,CPH
CPHP1323,32,1.13,1.13,0.0,0.0,CPH
CPHP1324,32,1.13,1.13,0.0,0.0,CPH
CPHP1322,34,1.13,1.13,0.0,0.0,CPH
CPHP1314,36,1.13,1.13,0.0,0.0,CPH
CPHP1313,35,1.13,1.13,0.01,0.9,CPH
CPHP1312,42,1.13,1.13,0.01,0.9,CPH
CPHP1622,19,1.13,1.13,0.01,0.9,CPH
RGCH1225,21,1.1,1.1,0.01,0.9,RGC
RGCH1215,27,1.1,1.1,0.01,0.9,RGC
RGCH1213,39,1.1,1.1,0.01,0.9,RGC
RGCH1216,27,1.1,1.1,0.01,0.9,RGC
RGCH1226,21,1.1,1.1,0.01,0.9,RGC
RGCH1224,23,1.1,1.1,0.01,0.9,RGC
RGCH1214,28,1.1,1.1,0.01,0.9,RGC
RGCH1223,25,1.09,1.1,0.01,0.9,RGC
ADH102,33,0.92,0.92,0.01,1.1,ADH
ADH103,31,0.92,0.92,0.01,1.1,ADH
ADH101,38,0.92,0.92,0.01,1.1,ADH
ADH106,26,0.92,0.92,0.01,1.1,ADH
ADH105,27,0.92,0.92,0.01,1.1,ADH
ADH107,24,0.92,0.92,0.01,1.1,ADH
ADH104,32,0.92,0.92,0.01,1.1,ADH
ITC133,109,0.89,0.88,0.01,1.1,ITC
ITC134,102,0.89,0.88,0.01,1.1,ITC
SCPL1331,62,0.75,0.75,0.0,0.0,SCP
SCPL1332,52,0.75,0.75,0.0,0.0,SCP
SCPL1232,51,0.75,0.75,0.0,0.0,SCP
SCPL1233,48,0.75,0.75,0.0,0.0,SCP
SCPL1234,48,0.75,0.75,0.0,0.0,SCP
SCPL1231,64,0.75,0.75,0.0,0.0,SCP
SCPL1531,58,0.75,0.75,0.0,0.0,SCP
SCPL1532,50,0.75,0.75,0.0,0.0,SCP
SCPL1334,49,0.75,0.75,0.0,0.0,SCP
SCPL1333,48,0.75,0.75,0.0,0.0,SCP
SCPL1631,54,0.75,0.75,0.0,0.0,SCP
SCPL1632,49,0.75,0.75,0.0,0.0,SCP
CHK2,105,0.48,0.47,0.11,22.9,CHK
CHK1,106,0.48,0.47,0.11,22.9,CHK
