CHAMBER,Count,Mean_Minutes,Median_Minutes,Std_Minutes,CV_Percent,CHAMBER_TYPE
TEL_ACT12,897,18.89,19.95,2.83,15.0,TEL
CPHP1322,145,1.47,1.47,0.0,0.0,CPH
CPHP1521,83,1.47,1.47,0.0,0.0,CPH
CPHP1323,144,1.47,1.47,0.0,0.0,CPH
CPHP1324,144,1.47,1.47,0.0,0.0,CPH
CPHP1611,96,1.47,1.47,0.0,0.0,CPH
CPHP1612,94,1.47,1.47,0.0,0.0,CPH
CPHP1513,93,1.47,1.47,0.0,0.0,CPH
CPHP1314,148,1.47,1.47,0.0,0.0,CPH
CPHP1621,83,1.47,1.47,0.0,0.0,CPH
CPHP1312,163,1.46,1.47,0.01,0.7,CPH
CPHP1313,153,1.46,1.47,0.01,0.7,CPH
CPHP1522,85,1.46,1.47,0.01,0.7,CPH
CPHP1613,85,1.46,1.47,0.01,0.7,CPH
CPHP1622,84,1.46,1.47,0.01,0.7,CPH
CPHP1512,96,1.46,1.47,0.01,0.7,CPH
CPHP1511,98,1.46,1.47,0.01,0.7,CPH
DEV151,125,1.33,1.33,0.01,0.8,DEV
DEV154,107,1.33,1.33,0.01,0.8,DEV
DEV152,111,1.33,1.33,0.01,0.8,DEV
DEV162,109,1.33,1.33,0.01,0.8,DEV
DEV163,109,1.33,1.33,0.01,0.8,DEV
DEV164,108,1.33,1.33,0.01,0.8,DEV
DEV153,112,1.33,1.33,0.01,0.8,DEV
DEV161,116,1.33,1.33,0.01,0.8,DEV
COT131,455,1.03,1.03,0.01,1.0,COT
COT132,442,1.02,1.02,0.01,1.0,COT
ADH101,142,0.92,0.92,0.01,1.1,ADH
ADH105,119,0.92,0.92,0.01,1.1,ADH
ADH102,135,0.92,0.92,0.01,1.1,ADH
ADH107,117,0.92,0.92,0.01,1.1,ADH
ADH106,119,0.92,0.92,0.01,1.1,ADH
ADH103,134,0.92,0.92,0.01,1.1,ADH
ADH104,131,0.92,0.92,0.01,1.1,ADH
SCPL1331,237,0.75,0.75,0.0,0.0,SCP
SCPL1332,226,0.75,0.75,0.0,0.0,SCP
SCPL1531,236,0.75,0.75,0.0,0.0,SCP
SCPL1532,219,0.75,0.75,0.0,0.0,SCP
SCPL1334,215,0.75,0.75,0.0,0.0,SCP
SCPL1333,219,0.75,0.75,0.0,0.0,SCP
SCPL1631,225,0.75,0.75,0.0,0.0,SCP
SCPL1632,217,0.75,0.75,0.0,0.0,SCP
CHK1,447,0.44,0.42,0.05,11.4,CHK
CHK2,450,0.43,0.4,0.05,11.6,CHK
